field,type,label
form1[0].BodyPage9[0].P9_N7R9Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R10MedName_FLD[0],text,Row 10 Name of Medicine
form1[0].BodyPage9[0].P9_N7R10DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R10Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R11MedName_FLD[0],text,Row 11 Name of Medicine
form1[0].BodyPage9[0].P9_N7R11DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R11Reason_FLD[0],text,"REASON FOR MEDICINE (IF KNOWN). If you need to list more medicines, use Section 11."
form1[0].BodyPage10[0].P10_N8A_CB2[0],checkbox,YES (Complete the chart(s) below)
form1[0].BodyPage10[0].P10_N8A1FacilityName_FLD[0],text,"You may find this information on medical bills, online medical chart, or the internet. 8.Ay.1. NAME OF FACILITY OR OFFICE"
form1[0].BodyPage10[0].P10_N8A1ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage10[0].P10_N8A1MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage10[0].P10_N8A1Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage10[0].P10_N8A1DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A1DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A1DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A1Address_FLD[0],text,ADDRESS
form1[0].BodyPage10[0].P10_N8A1City_FLD[0],text,city
form1[0].BodyPage10[0].P10_N8A1State_FLD[0],text,State/Province
form1[0].BodyPage10[0].P10_N8A1ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage10[0].P10_N8A1Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage10[0].P10_N8A2FacilityName_FLD[0],text,8.Ay.2. NAME OF FACILITY OR OFFICE
form1[0].BodyPage10[0].P10_N8A2ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage10[0].P10_N8A2MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage10[0].P10_N8A2Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage10[0].P10_N8A2DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A2DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A2DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A2Address_FLD[0],text,ADDRESS
form1[0].BodyPage10[0].P10_N8A2City_FLD[0],text,city
form1[0].BodyPage10[0].P10_N8A2State_FLD[0],text,State/Province
form1[0].BodyPage10[0].P10_N8A2ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage10[0].P10_N8A2Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage10[0].P10_N8A3FacilityName_FLD[0],text,8.Ay.3. NAME OF FACILITY OR OFFICE
form1[0].BodyPage10[0].P10_N8A3ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage10[0].P10_N8A3MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage10[0].P10_N8A3Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage10[0].P10_N8A3DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A3DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A3DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage10[0].P10_N8A3Address_FLD[0],text,ADDRESS
form1[0].BodyPage10[0].P10_N8A3City_FLD[0],text,city
form1[0].BodyPage10[0].P10_N8A3State_FLD[0],text,State/Province
form1[0].BodyPage10[0].P10_N8A3ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage10[0].P10_N8A3Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage11[0].P11_N8A4ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage11[0].P11_N8A4MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage11[0].P11_N8A4Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage11[0].P11_N8A4DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A4DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A4DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A4Address_FLD[0],text,ADDRESS
form1[0].BodyPage11[0].P11_N8A4City_FLD[0],text,city
form1[0].BodyPage11[0].P11_N8A4State_FLD[0],text,State/Province
form1[0].BodyPage11[0].P11_N8A4ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage11[0].P11_N8A4Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage11[0].P11_N8A5FacilityName_FLD[0],text,8.Ay.5. NAME OF FACILITY OR OFFICE
form1[0].BodyPage11[0].P11_N8A5ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage11[0].P11_N8A5MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage11[0].P11_N8A5Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage11[0].P11_N8A5DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A5DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A5DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A5Address_FLD[0],text,ADDRESS
form1[0].BodyPage11[0].P11_N8A5City_FLD[0],text,city
form1[0].BodyPage11[0].P11_N8A5State_FLD[0],text,State/Province
form1[0].BodyPage11[0].P11_N8A5ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage11[0].P11_N8A5Country_FLD[0],text,"Country (If not U S Ay) If you need to list more facilities or healthcare providers, use Section 11."
form1[0].BodyPage11[0].P11_N8A6FacilityName_FLD[0],text,8.Ay.6. NAME OF FACILITY OR OFFICE
form1[0].BodyPage11[0].P11_N8A6ProviderName_FLD[0],text,NAME OF HEALTHCARE PROVIDER THAT TREATED YOU
form1[0].BodyPage11[0].P11_N8A6MedCond_FLD[0],text,What medical conditions were treated or evaluated?
form1[0].BodyPage11[0].P11_N8A6Phone_FLD[0],text,PHONE NUMBER
form1[0].BodyPage11[0].P11_N8A6DateFirstSeen_FLD[0],text,DATE FIRST SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A6DateLastSeen_FLD[0],text,DATE last SEEN: MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A6DateNextAppt_FLD[0],text,DATE OF NEXT APPOINTMENT: (IF KNOWN) MM/Y Y Y Y
form1[0].BodyPage11[0].P11_N8A6Address_FLD[0],text,ADDRESS
form1[0].BodyPage11[0].P11_N8A6City_FLD[0],text,city
form1[0].BodyPage11[0].P11_N8A6State_FLD[0],text,State/Province
form1[0].BodyPage11[0].P11_N8A6ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage11[0].P11_N8A6Country_FLD[0],text,"Country (If not U S Ay) If you need to list more facilities or healthcare providers, use Section 11."
form1[0].BodyPage12[0].P12-N8B_CB2[0],checkbox,YES (Select tests from the chart below)
form1[0].BodyPage12[0].P12-N8BBloodName_FLD[0],text,"Below is a table of 3 columns and 15 rows. Column headers are Test, Name of Healthcare Provider or Facility, and Date of Test MM/Y Y Y Y). The column of Tests is pre-filled. Row 1 Test: Blood test (not H I V). Name of Healthcare Provider or Facility"
form1[0].BodyPage12[0].P12-N8BBloodDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BBreathName_FLD[0],text,Row 2 Test: Breathing test. Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BBreathDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BCardiacName_FLD[0],text,Row 3 Test: Cardiac catheterization. Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BCardiacDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BEEGName_FLD[0],text,Row 4 Test: E E G (brain wave test). Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BEEGDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BEKGName_FLD[0],text,Row 5 Test: E K G (heart test). Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BEKGDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BHearingName_FLD[0],text,Row 6 Test: Hearing test. Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BHearingDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BHIVName_FLD[0],text,Row 7 Test: H I V test Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BHIVDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BSpeechName_FLD[0],text,Row 8 Test: Speech/language test Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BSpeechDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BTreadmillName_FLD[0],text,Row 9 Test: Treadmill (exercise test) Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BTreadmillDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BVisionName_FLD[0],text,Row 10 Test: Vision test Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BVisionDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BIQName_FLD[0],text,Row 11 Test: Psychological/I Q test Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BIQDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BBiopsyTest_FLD[0],text,Row 12 Test Biopsy (list body part):
form1[0].BodyPage12[0].P12-N8BBiopsyName_FLD[0],text,Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BBiopsyDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BMRITest_FLD[0],text,Row 13 Test M R I/C T scan (list body part):
form1[0].BodyPage12[0].P12-N8BMRIName_FLD[0],text,Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BMRIDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BXRayTest_FLD[0],text,Row 14 Test X-ray (list body part):
form1[0].BodyPage12[0].P12-N8BXRayName_FLD[0],text,Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BXRayDate_FLD[0],text,DATE OF TEST (MM/Y Y Y Y)
form1[0].BodyPage12[0].P12-N8BOtherTest_FLD[0],text,Row 15 Test Other - please specify:
form1[0].BodyPage12[0].P12-N8BOtherName_FLD[0],text,Name of Healthcare Provider or Facility
form1[0].BodyPage12[0].P12-N8BOtherDate_FLD[0],text,"DATE OF TEST (MM/Y Y Y Y) If you need to list more tests, use Section 11."
form1[0].BodyPage13[0].P13_N9_CB2[0],checkbox,YES (Complete the information below)
form1[0].BodyPage13[0].P13_N9NameOfOrg_FLD[0],text,Name of Organization
form1[0].BodyPage13[0].P13_N9Phone_FLD[0],text,Phone Number
form1[0].BodyPage13[0].P13_N9Address_FLD[0],text,address
form1[0].BodyPage13[0].P13_N9City_FLD[0],text,City
form1[0].BodyPage13[0].P13_N9State_FLD[0],text,State/Province
form1[0].BodyPage13[0].P13_N9ZIP_FLD[0],text,Zip/Postal Code
form1[0].BodyPage13[0].P13_N9Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage13[0].P13_N9NameOfContact_FLD[0],text,Name of Contact Person
form1[0].BodyPage13[0].P13_N9ClaimNum_FLD[0],text,Claim number (if any)
form1[0].BodyPage13[0].P13_N9FirstContact_FLD[0],text,Date of First Contact
form1[0].BodyPage13[0].P13_N9LastContact_FLD[0],text,Date of last contact
form1[0].BodyPage13[0].P13_N9NextContact_FLD[0],text,Date of next contact (if any)
form1[0].BodyPage13[0].P13_N9ReasonForContact_FLD[0],text,"Reasons for contacts If you need to list other people or organizations, use Section 11"
form1[0].BodyPage13[0].P13_N10A_CB1[0],checkbox,"COMPLETE THIS SECTION ONLY IF YOU ARE ALREADY RECEIVING SSI. SECTION 10 - SUPPORT SERVICES Provide information about your participation in support services, if applicable. Examples of support services can include: • An Individualized Education Program (I E P) through a school (if a student aged 18-21) • An individual work plan with an employment network under the Ticket to Work Program • A Plan to Achieve Self-Support (P Ay S S) • An individualized plan for employment with a vocational rehabilitation agency or any other organization 10.Ay. Have you participated or are you participating in any support services mentioned above or any other vocational rehabilitation, employment services, or other support services to help you to go to work? YES (Complete the information below)"
form1[0].BodyPage13[0].P13_N10A_CB2[0],checkbox,No (Go to Section 11)
form1[0].BodyPage13[0].P13_N10BOrgName_FLD[0],text,10.B. FACILITY OR ORGANIZATION NAME
form1[0].BodyPage13[0].P13_N10BOrgPhone_FLD[0],text,Phone Number
form1[0].BodyPage13[0].P13_N10BCounselor_FLD[0],text,"COUNSELOR, INSTRUCTOR, OR JOB COACH NAME"
form1[0].BodyPage13[0].P13_N10BOrgAddress_FLD[0],text,"ADDRESS (Street or P O Box) Include Suite, Building, etc."
form1[0].BodyPage13[0].P13_N10BOrgCity_FLD[0],text,City
form1[0].BodyPage13[0].P13_N10BOrgState_FLD[0],text,State/Province
form1[0].BodyPage13[0].P13_N10BOrgZIP_FLD[0],text,Zip/Postal Code
form1[0].BodyPage13[0].P13_N10BOrgCountry_FLD[0],text,Country (If not U S Ay)
form1[0].Bodypage14[0].P14_N10CCB1DateBegan_FLD[0],text,"If yes is checked, Date began: MM/ Y Y Y Y"
form1[0].Bodypage14[0].P14_N10CCB1ExpComp_FLD[0],text,Expected completion date: MM/Y Y Y Y
form1[0].Bodypage14[0].P14_N10C_CB2[0],checkbox,No
form1[0].Bodypage14[0].P14_N10CCB2DateBegan_FLD[0],text,"If no is checked, Date began: MM/ Y Y Y Y"
form1[0].Bodypage14[0].P14_N10CCB2DateStopped_FLD[0],text,Date stopped: MM/ Y Y Y Y
form1[0].Bodypage14[0].P14_N10CCB2ReasonStopped_FLD[0],text,Reason stopped:
form1[0].Bodypage14[0].P14_N10D_CB1[0],checkbox,"10.D. What types of services, tests, or evaluation were provided? Select all that apply: Vision test"
form1[0].Bodypage14[0].P14_N10D_CB2[0],checkbox,Psychological/I Q test
form1[0].Bodypage14[0].P14_N10D_CB3[0],checkbox,Work classes
form1[0].Bodypage14[0].P14_N10D_CB4[0],checkbox,Hearing test
form1[0].Bodypage14[0].P14_N10D_CB5[0],checkbox,Work evaluation
form1[0].Bodypage14[0].P14_N10D_CB6[0],checkbox,Other
form1[0].Bodypage14[0].P14_N10DCB6_FLD[0],text,"If other is checked, please explain If you need to list another plan or program, use Section 11"
form1[0].Bodypage14[0].P14_Remarks_FLD[0],text,"SECTION 11 - REMARKS Please provide any additional information you did not give in earlier parts of this report. If you did not have enough space in the sections of this report to provide the requested information, please use this space to provide the additional information requested in those sections. Be sure to include the section and question number to which you are referring. If you need additional space, use Section 11 - Remarks (continued)"
form1[0].BodyPage15[0].P15_Section12DateComp_FLD[0],text,SECTION 12 - WHO IS COMPLETING THIS REPORT Date Report Completed (MM/DD/YYYY)
form1[0].BodyPage15[0].P15_Section12WhoIsComp_CB1[0],checkbox,Who is completing this report? The person listed in 1.Ay.
form1[0].BodyPage15[0].P15_Section12WhoIsComp_CB2[0],checkbox,The person listed in 2.Ay.
form1[0].BodyPage15[0].P15_Section12WhoIsComp_CB3[0],checkbox,The person listed in 2.F.
form1[0].BodyPage15[0].P15_Section12WhoIsComp_CB4[0],checkbox,Someone else (Complete the information below)
form1[0].BodyPage15[0].P15_Section12Name_FLD[0],text,"NAME (First, Middle Initial, Last)"
form1[0].BodyPage15[0].P15_Section12Relation_FLD[0],text,Relationship to the Person in 1.Ay.
form1[0].BodyPage15[0].P15_Section12Address_FLD[0],text,"MAILING ADDRESS (Street or P O Box) Include the apartment number, if applicable."
form1[0].BodyPage15[0].P15_Section12City_FLD[0],text,City
form1[0].BodyPage15[0].P15_Section12State_FLD[0],text,State/Province
form1[0].BodyPage15[0].P15_Section12ZIP_FLD[0],text,Zip/Postal Code
form1[0].BodyPage15[0].P15_Section12Country_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage15[0].P15_Section12DaytimePhone_FLD[0],text,"DAYTIME PHONE NUMBER where we may reach you or leave a message, if needed. Include the area code or I D D and country code if outside the USA or Canada."
form1[0].BodyPage15[0].P15_EOF_FLD[0],text,"This is the end of the form. If you tab, you will be at the beginning of the form."
