field,type,label
form1[0].BodyPage4[0].P4_N4CWhyStopWhen_FLD[0],text,"Even though you stopped working for other reasons, when do you believe your condition(s) became severe enough to keep you from working? (MM/DD/Y Y Y Y)"
form1[0].BodyPage5[0].P5_N4D_CB2[0],checkbox,"Yes,"
form1[0].BodyPage5[0].P5_N4DCB2_FLD[0],text,If Yes is checked When did the changes start? (MM/DD/Y Y Y Y)
form1[0].BodyPage5[0].P5_N4E_CB1[0],checkbox,"4.E. Since the date in 4.D. above, have you had earnings greater than 1,550 dollars before tax in any month? Do not count sick leave, vacation, or disability pay. (We may contact you for more information.) Yes (Go to Section 5)"
form1[0].BodyPage5[0].P5_N4E_CB2[0],checkbox,NO (Go to Section 5)
form1[0].BodyPage5[0].P5_N4F_CB1[0],checkbox,"IF YOU ARE CURRENTLY WORKING: 4.F. Has your condition(s) caused you or your employer to make changes in your work activity? Examples include job duties, hours, or rate of pay. YES"
form1[0].BodyPage5[0].P5_N4FCB1_FLD[0],text,If yes is checked When did the changes start? (MM/DD/Y Y Y Y)
form1[0].BodyPage5[0].P5_N4F_CB2[0],checkbox,NO
form1[0].BodyPage5[0].P5_N4FCB2_FLD[0],text,If no is checked When did your condition(s) first start bothering you? (MM/DD/Y Y Y Y)
form1[0].BodyPage5[0].P5_N4G_CB1[0],checkbox,"4.G. Since your condition(s) first bothered you, have you had earnings greater than 1,550 dollars before tax in any month? Do not count sick leave, vacation, or disability pay. (We may contact you for more information.) Yes"
form1[0].BodyPage5[0].P5_N4G_CB2[0],checkbox,No
form1[0].BodyPage5[0].P5_N5A_CB1[0],checkbox,"SECTION 5 - EDUCATION, TRAINING, AND LITERACY 5.Ay. Select the highest level of school completed, including homeschooling, online education, and education received in another country. 0"
form1[0].BodyPage5[0].P5_N5A_CB2[0],checkbox,Kindergarten
form1[0].BodyPage5[0].P5_N5A_CB3[0],checkbox,First Grade
form1[0].BodyPage5[0].P5_N5A_CB4[0],checkbox,Second Grade
form1[0].BodyPage5[0].P5_N5A_CB5[0],checkbox,Third Grade
form1[0].BodyPage5[0].P5_N5A_CB6[0],checkbox,Fourth Grade
form1[0].BodyPage5[0].P5_N5A_CB7[0],checkbox,Fifth Grade
form1[0].BodyPage5[0].P5_N5A_CB8[0],checkbox,Sixth Grade
form1[0].BodyPage5[0].P5_N5A_CB9[0],checkbox,Seventh Grade
form1[0].BodyPage5[0].P5_N5A_CB10[0],checkbox,Eighth Grade
form1[0].BodyPage5[0].P5_N5A_CB11[0],checkbox,Ninth Grade
form1[0].BodyPage5[0].P5_N5A_CB12[0],checkbox,Tenth Grade
form1[0].BodyPage5[0].P5_N5A_CB13[0],checkbox,Eleventh Grade
form1[0].BodyPage5[0].P5_N5A_CB14[0],checkbox,Twelfth Grade
form1[0].BodyPage5[0].P5_N5A_CB15[0],checkbox,G E D
form1[0].BodyPage5[0].P5_N5ACollege_CB1[0],checkbox,One Year of College
form1[0].BodyPage5[0].P5_N5ACollege_CB2[0],checkbox,Two Years of College
form1[0].BodyPage5[0].P5_N5ACollege_CB3[0],checkbox,Three Years of College
form1[0].BodyPage5[0].P5_N5ACollege_CB4[0],checkbox,Four or more Years of College
form1[0].BodyPage5[0].P5_N5ADateComp_FLD[0],text,Date completed: MM/Y Y Y Y
