field,type,label
topmostSubform[0].Page1[0].N1FLD_FLD[0],text,"1. Print your name First name, middle initial, last name"
topmostSubform[0].Page1[0].N2FLD_FLD[0],text,2. Enter your Social Security Number
topmostSubform[0].Page1[0].N3Speak_FLD[0],text,"Answer question 3 if English is not your preferred language. Otherwise, go to item 4. 3. Enter the language you prefer to: speak"
topmostSubform[0].Page1[0].N3Write_FLD[0],text,write
topmostSubform[0].Page1[0].N4A_FLD[0],text,4. (ay) Enter your date of birth
topmostSubform[0].Page1[0].N4B_FLD[0],text,(b) Enter name of city and state or foreign country where you were born.
topmostSubform[0].Page1[0].N5ACBYes_CB[0],checkbox,"5. (ay) Are you a U.S. citizen? Yes (If ""Yes,"" go to item 6)"
topmostSubform[0].Page1[0].N5ACBNo_CB[0],checkbox,"No (If ""No,"" answer (b))"
topmostSubform[0].Page1[0].N5BCBYes_CB[0],checkbox,"(b) Are you an alien lawfully present in the U S? Yes (If ""Yes,"" answer (c))"
topmostSubform[0].Page1[0].N5BCBNo_CB[0],checkbox,"No (If ""No,"" go to item 6)"
topmostSubform[0].Page1[0].N5C_FLD[0],text,(c) When were you lawfully admitted to the U S?
topmostSubform[0].Page1[0].N6A_FLD[0],text,6. (ay) Enter your name at birth if different from item (1)
topmostSubform[0].Page1[0].N6BCByes_CB[0],checkbox,"(b) Have you used any other names? Yes (If ""Yes,"" answer (c)"
topmostSubform[0].Page1[0].N6BCB_CB[0],checkbox,"No (If ""No,"" go to item 7)"
topmostSubform[0].Page1[0].N6C_FLD[0],text,(c) Other name(s) used.
topmostSubform[0].Page1[0].N7Ayes_CB[0],checkbox,7 (ay) Have you used any other Social Security number(s)? Yes (If yes answer B)
topmostSubform[0].Page1[0].N7Ano_CB[0],checkbox,No. If no go to item 8
topmostSubform[0].Page1[0].N7B_FLD[0],text,(b) Enter Social Security number(s) used.
topmostSubform[0].Page1[0].N8_FLD[0],text,8. When do you believe your condition(s) became severe enough to keep you from working (even if you have never worked)?
topmostSubform[0].Page1[0].N9yes_CB[0],checkbox,9. Did you or your spouse (or prior spouse) work in the railroad industry for 5 years or more? Yes
topmostSubform[0].Page1[0].N9no_CB[0],checkbox,No
topmostSubform[0].Page1[0].N10Ayes_CB[0],checkbox,"10. (ay) Do you have Social Security credits (for example, based on work or residence) under another country's Social Security System? Yes (If ""Yes,"" answer (b))"
topmostSubform[0].Page1[0].N10Ano_CB[0],checkbox,"No (If ""No,"" go to item 11)"
topmostSubform[0].Page1[0].N10B_FLD[0],text,(b) List the country(ies):
topmostSubform[0].Page2[0].N11ANo_CB[0],checkbox,"No (If ""No,"" go to item 12)"
topmostSubform[0].Page2[0].N11B1_FLD[0],text,"(b) Give the following information about your current marriage. If not currently married, write ""None."" Blank line (If ""None,"" go on to item 11(c)). Enter None if needed"
topmostSubform[0].Page2[0].N11B2_FLD[0],text,Spouse's name (including maiden name)
topmostSubform[0].Page2[0].N11B3_FLD[0],text,"When (Month, day, year)"
topmostSubform[0].Page2[0].N11B4_FLD[0],text,Where (Name of City and State)
topmostSubform[0].Page2[0].N11BCler_CB[0],checkbox,Marriage performed by: Clergyman or public official check box
topmostSubform[0].Page2[0].N11BOther_CB[0],checkbox,Other check box (Explain in Remarks)
topmostSubform[0].Page2[0].N11B5_FLD[0],text,Spouse's date of birth (or age)
topmostSubform[0].Page2[0].N11B6_FLD[0],text,"Spouse's Social Security Number (If none or unknown, so indicate)"
topmostSubform[0].Page2[0].N11C2_FLD[0],text,Spouse's name (including maiden name)
topmostSubform[0].Page2[0].N11C3_FLD[0],text,"When (Month, day, year)"
topmostSubform[0].Page2[0].N11CFLD4[0],text,Where (Name of City and State)
topmostSubform[0].Page2[0].N11CFLD5[0],text,How marriage ended
topmostSubform[0].Page2[0].N11CFLD6[0],text,"When (Month, day, year)"
topmostSubform[0].Page2[0].N11CFLD7[0],text,Where (Name of City and State)
topmostSubform[0].Page2[0].N11CCBClergy_CB[0],checkbox,Marriage performed by: Clergyman or public official
topmostSubform[0].Page2[0].N11CCBOther_CB[0],checkbox,Other if other (Explain in Remarks)
topmostSubform[0].Page2[0].N11CFLD8[0],text,Spouse's date of birth (or age)
topmostSubform[0].Page2[0].N11CFLD9[0],text,Date of spouse's death
topmostSubform[0].Page2[0].N11CFLD10[0],text,"Spouse's Social Security Number (If none or unknown, so indicate)"
topmostSubform[0].Page2[0].N11DFLD1_FLD[0],text,"(d) Enter information about any marriage if you: Bullet Have a child(ren) who is under age 16 or disabled or handicapped (age 16 or over and disability began before age 22); and Bullet Were married for less than 10 years to the child's mother or father, who is now deceased; and Bullet The marriage ended in divorce If none, write ""None."""
topmostSubform[0].Page2[0].N11DFLD2_FLD[0],text,Spouse's name (including maiden name)
topmostSubform[0].Page2[0].N11DFLD3_FLD[0],text,"When (Month, day, year)"
